customer_id,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod
CUST001,Female,0,Yes,No,1,No,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,29.85,29.85,Month-to-month,No,Electronic check
CUST002,Male,0,No,No,34,Yes,No,Yes,No,Yes,No,No,No,No,Yes,56.95,1889.5,One year,DSL,Electronic check
CUST003,Male,1,No,No,2,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,53.85,108.15,Month-to-month,Fiber optic,Electronic check
CUST004,Male,1,No,No,45,No,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,42.30,1840.75,One year,No,Mailed check
CUST005,Female,0,No,No,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,70.70,151.65,Month-to-month,Fiber optic,Electronic check
CUST006,Female,0,No,No,8,Yes,Yes,No,No,Yes,No,No,No,No,Yes,99.65,820.50,Month-to-month,Fiber optic,Electronic check
CUST007,Male,0,No,No,22,Yes,Yes,No,No,No,No,No,No,No,Yes,89.10,1949.40,Month-to-month,Fiber optic,Electronic check
CUST008,Female,0,No,No,9,No,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,29.75,301.90,Month-to-month,No,Electronic check
CUST009,Male,0,Yes,No,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,104.80,2932.95,Two year,Fiber optic,Bank transfer (automatic)
CUST010,Female,0,No,No,49,Yes,No,Yes,No,No,No,No,No,No,Yes,56.15,2760.85,One year,DSL,Credit card (automatic)
CUST011,Male,0,Yes,Yes,10,Yes,No,No,No,No,No,No,No,No,Yes,49.95,517.60,Month-to-month,DSL,Electronic check
CUST012,Female,0,Yes,No,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,18.95,418.60,Month-to-month,DSL,Credit card (automatic)
CUST013,Male,0,No,No,15,Yes,Yes,No,No,No,No,No,No,No,Yes,100.80,1503.15,Month-to-month,Fiber optic,Electronic check
CUST014,Female,0,No,No,5,Yes,Yes,No,No,No,No,No,No,No,Yes,103.20,544.75,Month-to-month,Fiber optic,Electronic check
CUST015,Male,1,No,No,38,Yes,No,No,No,No,No,No,No,No,No,64.35,2477.30,One year,DSL,Mailed check
CUST016,Female,1,No,No,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,105.50,2739.15,Two year,Fiber optic,Bank transfer (automatic)
CUST017,Male,0,Yes,No,67,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,90.40,6065.40,Two year,Fiber optic,Credit card (automatic)
CUST018,Female,0,No,No,18,Yes,No,No,No,No,No,No,No,No,Yes,78.45,1445.55,Month-to-month,Fiber optic,Electronic check
CUST019,Male,0,No,No,57,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,74.40,4259.10,Two year,DSL,Bank transfer (automatic)
CUST020,Female,0,Yes,Yes,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,84.80,1099.85,Month-to-month,Fiber optic,Electronic check
